Date : 2025-12-29 02:00:46
Directory : c:\dev\cloudbox
Total : 260 files,  83389 codes, 4280 comments, 8693 blanks, all 96362 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\dev\cloudbox\frontend\src\components\modals\CreateFileModal.tsx                           | TypeScript JSX     |         81 |          0 |          8 |         89 |
| c:\dev\cloudbox\frontend\src\components\modals\CreateFolderModal.tsx                         | TypeScript JSX     |         80 |          0 |          8 |         88 |
| c:\dev\cloudbox\frontend\src\components\modals\FolderColorModal.tsx                          | TypeScript JSX     |        347 |         23 |         19 |        389 |
| c:\dev\cloudbox\frontend\src\components\modals\InfoModal.tsx                                 | TypeScript JSX     |        114 |          5 |          9 |        128 |
| c:\dev\cloudbox\frontend\src\components\modals\MoveModal.tsx                                 | TypeScript JSX     |        195 |         11 |         24 |        230 |
| c:\dev\cloudbox\frontend\src\components\modals\RenameModal.tsx                               | TypeScript JSX     |         86 |          1 |         12 |         99 |
| c:\dev\cloudbox\frontend\src\components\modals\ShareModal.tsx                                | TypeScript JSX     |        436 |          6 |         43 |        485 |
| c:\dev\cloudbox\frontend\src\components\modals\TagModal.tsx                                  | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\dev\cloudbox\frontend\src\components\modals\UploadFolderModal.tsx                         | TypeScript JSX     |        296 |          3 |         36 |        335 |
| c:\dev\cloudbox\frontend\src\components\modals\UploadModal.tsx                               | TypeScript JSX     |        339 |         20 |         39 |        398 |
| c:\dev\cloudbox\frontend\src\components\modals\VerificationLockModal.tsx                     | TypeScript JSX     |         93 |          3 |         13 |        109 |
| c:\dev\cloudbox\frontend\src\components\tags\TagManager.tsx                                  | TypeScript JSX     |        370 |          8 |         27 |        405 |
| c:\dev\cloudbox\frontend\src\components\ui\Button.tsx                                        | TypeScript JSX     |         60 |          0 |          8 |         68 |
| c:\dev\cloudbox\frontend\src\components\ui\Checkbox.tsx                                      | TypeScript JSX     |         33 |          0 |          5 |         38 |
| c:\dev\cloudbox\frontend\src\components\ui\ConfirmModal.tsx                                  | TypeScript JSX     |         74 |          0 |          7 |         81 |
| c:\dev\cloudbox\frontend\src\components\ui\ContextMenu.tsx                                   | TypeScript JSX     |        192 |          9 |         28 |        229 |
| c:\dev\cloudbox\frontend\src\components\ui\Dropdown.tsx                                      | TypeScript JSX     |        314 |         14 |         52 |        380 |
| c:\dev\cloudbox\frontend\src\components\ui\GlobalProgressIndicator.tsx                       | TypeScript JSX     |        213 |          5 |         19 |        237 |
| c:\dev\cloudbox\frontend\src\components\ui\HamsterLoader.tsx                                 | TypeScript JSX     |         32 |          0 |          2 |         34 |
| c:\dev\cloudbox\frontend\src\components\ui\Input.tsx                                         | TypeScript JSX     |         67 |          0 |          6 |         73 |
| c:\dev\cloudbox\frontend\src\components\ui\KeyboardShortcutsModal.tsx                        | TypeScript JSX     |         47 |          0 |          5 |         52 |
| c:\dev\cloudbox\frontend\src\components\ui\MobileDrawer.tsx                                  | TypeScript JSX     |        159 |         22 |         19 |        200 |
| c:\dev\cloudbox\frontend\src\components\ui\Modal.tsx                                         | TypeScript JSX     |        128 |          9 |         16 |        153 |
| c:\dev\cloudbox\frontend\src\components\ui\PasswordStrength.tsx                              | TypeScript JSX     |         87 |          2 |         11 |        100 |
| c:\dev\cloudbox\frontend\src\components\ui\Progress.tsx                                      | TypeScript JSX     |         42 |          0 |          5 |         47 |
| c:\dev\cloudbox\frontend\src\components\ui\Skeleton.tsx                                      | TypeScript JSX     |         52 |         12 |          7 |         71 |
| c:\dev\cloudbox\frontend\src\components\ui\SkipLink.tsx                                      | TypeScript JSX     |         20 |          5 |          3 |         28 |
| c:\dev\cloudbox\frontend\src\components\ui\Tabs.tsx                                          | TypeScript JSX     |         82 |          0 |         17 |         99 |
| c:\dev\cloudbox\frontend\src\components\ui\Toast.tsx                                         | TypeScript JSX     |        117 |          2 |         18 |        137 |
| c:\dev\cloudbox\frontend\src\components\ui\Tooltip.tsx                                       | TypeScript JSX     |        230 |         11 |         30 |        271 |
| c:\dev\cloudbox\frontend\src\components\ui\VirtualizedGrid.tsx                               | TypeScript JSX     |        260 |         23 |         29 |        312 |
| c:\dev\cloudbox\frontend\src\hooks\useContextMenu.ts                                         | TypeScript         |         31 |          1 |          9 |         41 |
| c:\dev\cloudbox\frontend\src\hooks\useKeyboardShortcuts.ts                                   | TypeScript         |        161 |         20 |         24 |        205 |
| c:\dev\cloudbox\frontend\src\i18n.ts                                                         | TypeScript         |         37 |          5 |          5 |         47 |
| c:\dev\cloudbox\frontend\src\index.css                                                       | PostCSS            |        657 |         21 |        117 |        795 |
| c:\dev\cloudbox\frontend\src\layouts\AuthLayout.tsx                                          | TypeScript JSX     |         72 |          2 |          9 |         83 |
| c:\dev\cloudbox\frontend\src\layouts\LegalLayout.tsx                                         | TypeScript JSX     |        104 |         11 |         10 |        125 |
| c:\dev\cloudbox\frontend\src\layouts\MainLayout.tsx                                          | TypeScript JSX     |      1,292 |        104 |        163 |      1,559 |
| c:\dev\cloudbox\frontend\src\lib\animations.ts                                               | TypeScript         |         36 |          5 |          6 |         47 |
| c:\dev\cloudbox\frontend\src\lib\api.ts                                                      | TypeScript         |        157 |         55 |         29 |        241 |
| c:\dev\cloudbox\frontend\src\lib\chunkedUpload.ts                                            | TypeScript         |        581 |         82 |         91 |        754 |
| c:\dev\cloudbox\frontend\src\lib\sentry.ts                                                   | TypeScript         |         56 |         17 |         18 |         91 |
| c:\dev\cloudbox\frontend\src\lib\socket.ts                                                   | TypeScript         |        159 |         43 |         30 |        232 |
| c:\dev\cloudbox\frontend\src\lib\tokenManager.ts                                             | TypeScript         |         21 |         40 |          7 |         68 |
| c:\dev\cloudbox\frontend\src\lib\utils.ts                                                    | TypeScript         |        137 |          0 |         22 |        159 |
| c:\dev\cloudbox\frontend\src\locales\de\common.json                                          | JSON               |      1,375 |          0 |          0 |      1,375 |
| c:\dev\cloudbox\frontend\src\locales\en\common.json                                          | JSON               |      1,408 |          0 |          0 |      1,408 |
| c:\dev\cloudbox\frontend\src\locales\es\common.json                                          | JSON               |      1,520 |          0 |          0 |      1,520 |
| c:\dev\cloudbox\frontend\src\locales\fr\common.json                                          | JSON               |      1,378 |          0 |          0 |      1,378 |
| c:\dev\cloudbox\frontend\src\locales\it\common.json                                          | JSON               |      1,375 |          0 |          0 |      1,375 |
| c:\dev\cloudbox\frontend\src\locales\pt\common.json                                          | JSON               |      1,375 |          0 |          0 |      1,375 |
| c:\dev\cloudbox\frontend\src\main.tsx                                                        | TypeScript JSX     |         27 |          2 |          5 |         34 |
| c:\dev\cloudbox\frontend\src\pages\Albums.tsx                                                | TypeScript JSX     |        620 |         25 |         54 |        699 |
| c:\dev\cloudbox\frontend\src\pages\Dashboard.tsx                                             | TypeScript JSX     |        344 |         13 |         28 |        385 |
| c:\dev\cloudbox\frontend\src\pages\Documents.tsx                                             | TypeScript JSX     |        655 |         38 |         62 |        755 |
| c:\dev\cloudbox\frontend\src\pages\Favorites.tsx                                             | TypeScript JSX     |        225 |         16 |         23 |        264 |
| c:\dev\cloudbox\frontend\src\pages\Files.tsx                                                 | TypeScript JSX     |        504 |         45 |         64 |        613 |
| c:\dev\cloudbox\frontend\src\pages\Music.tsx                                                 | TypeScript JSX     |      1,011 |         74 |        107 |      1,192 |
| c:\dev\cloudbox\frontend\src\pages\Photos.tsx                                                | TypeScript JSX     |        980 |         70 |        100 |      1,150 |
| c:\dev\cloudbox\frontend\src\pages\SearchResults.tsx                                         | TypeScript JSX     |        355 |         21 |         31 |        407 |
| c:\dev\cloudbox\frontend\src\pages\Settings.tsx                                              | TypeScript JSX     |        809 |         26 |         64 |        899 |
| c:\dev\cloudbox\frontend\src\pages\Shared.tsx                                                | TypeScript JSX     |        449 |         17 |         32 |        498 |
| c:\dev\cloudbox\frontend\src\pages\Trash.tsx                                                 | TypeScript JSX     |        534 |         24 |         52 |        610 |
| c:\dev\cloudbox\frontend\src\pages\admin\AdminDashboard.tsx                                  | TypeScript JSX     |         90 |          3 |          8 |        101 |
| c:\dev\cloudbox\frontend\src\pages\admin\AdminFileIcons.tsx                                  | TypeScript JSX     |         44 |          2 |          6 |         52 |
| c:\dev\cloudbox\frontend\src\pages\admin\AdminUsers.tsx                                      | TypeScript JSX     |        844 |         15 |         39 |        898 |
| c:\dev\cloudbox\frontend\src\pages\auth\ForgotPassword.tsx                                   | TypeScript JSX     |        116 |          1 |         16 |        133 |
| c:\dev\cloudbox\frontend\src\pages\auth\Login.tsx                                            | TypeScript JSX     |        344 |         24 |         36 |        404 |
| c:\dev\cloudbox\frontend\src\pages\auth\Register.tsx                                         | TypeScript JSX     |        160 |          2 |         21 |        183 |
| c:\dev\cloudbox\frontend\src\pages\auth\ResetPassword.tsx                                    | TypeScript JSX     |        136 |          0 |         19 |        155 |
| c:\dev\cloudbox\frontend\src\pages\auth\VerifyEmail.tsx                                      | TypeScript JSX     |         79 |          0 |          7 |         86 |
| c:\dev\cloudbox\frontend\src\pages\public\LegalPage.tsx                                      | TypeScript JSX     |        237 |         12 |         29 |        278 |
| c:\dev\cloudbox\frontend\src\pages\public\PublicShare.tsx                                    | TypeScript JSX     |        327 |         10 |         18 |        355 |
| c:\dev\cloudbox\frontend\src\stores\authStore.ts                                             | TypeScript         |        183 |         26 |         31 |        240 |
| c:\dev\cloudbox\frontend\src\stores\brandingStore.ts                                         | TypeScript         |        157 |          7 |         28 |        192 |
| c:\dev\cloudbox\frontend\src\stores\dragDropStore.ts                                         | TypeScript         |         65 |          2 |         10 |         77 |
| c:\dev\cloudbox\frontend\src\stores\fileIconStore.ts                                         | TypeScript         |         85 |          8 |         15 |        108 |
| c:\dev\cloudbox\frontend\src\stores\fileStore.ts                                             | TypeScript         |        133 |          0 |         25 |        158 |
| c:\dev\cloudbox\frontend\src\stores\globalProgressStore.ts                                   | TypeScript         |        127 |          2 |         18 |        147 |
| c:\dev\cloudbox\frontend\src\stores\musicStore.ts                                            | TypeScript         |        153 |          1 |         25 |        179 |
| c:\dev\cloudbox\frontend\src\stores\sidebarStore.ts                                          | TypeScript         |         75 |          1 |          8 |         84 |
| c:\dev\cloudbox\frontend\src\stores\themeStore.ts                                            | TypeScript         |         23 |          0 |          5 |         28 |
| c:\dev\cloudbox\frontend\src\stores\uiStore.ts                                               | TypeScript         |         19 |          0 |          3 |         22 |
| c:\dev\cloudbox\frontend\src\stores\uploadStore.ts                                           | TypeScript         |         69 |          0 |         14 |         83 |
| c:\dev\cloudbox\frontend\src\types\index.ts                                                  | TypeScript         |        161 |          1 |         14 |        176 |
| c:\dev\cloudbox\frontend\src\vite-env.d.ts                                                   | TypeScript         |         11 |          2 |          4 |         17 |
| c:\dev\cloudbox\frontend\tailwind.config.js                                                  | JavaScript         |         58 |          1 |          1 |         60 |
| c:\dev\cloudbox\frontend\tsconfig.json                                                       | JSON with Comments |         24 |          0 |          1 |         25 |
| c:\dev\cloudbox\frontend\vite.config.ts                                                      | TypeScript         |         38 |          9 |          2 |         49 |
| c:\dev\cloudbox\package-lock.json                                                            | JSON               |      1,273 |          0 |          1 |      1,274 |
| c:\dev\cloudbox\package.json                                                                 | JSON               |         40 |          0 |          0 |         40 |
| c:\dev\cloudbox\playwright.config.ts                                                         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\dev\cloudbox\scripts\backup.sh                                                            | Shell Script       |         57 |         28 |         16 |        101 |
| c:\dev\cloudbox\scripts\release.js                                                           | JavaScript         |        318 |         47 |         45 |        410 |
| Total                                                                                        |                    |     83,389 |      4,280 |      8,693 |     96,362 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
