Date : 2025-12-29 02:00:46
Directory : c:\dev\cloudbox
Total : 260 files,  83389 codes, 4280 comments, 8693 blanks, all 96362 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\dev\cloudbox\backend\src\routes\shares.ts                                                 | TypeScript         |      1,178 |         74 |        226 |      1,478 |
| c:\dev\cloudbox\backend\src\routes\tags.ts                                                   | TypeScript         |        265 |         21 |         61 |        347 |
| c:\dev\cloudbox\backend\src\routes\trash.ts                                                  | TypeScript         |        180 |         12 |         40 |        232 |
| c:\dev\cloudbox\backend\src\routes\users.ts                                                  | TypeScript         |        299 |         24 |         57 |        380 |
| c:\dev\cloudbox\backend\src\routes\versions.ts                                               | TypeScript         |        214 |         23 |         44 |        281 |
| c:\dev\cloudbox\backend\src\schemas\index.ts                                                 | TypeScript         |        514 |         26 |         64 |        604 |
| c:\dev\cloudbox\backend\src\scripts\check-storage.ts                                         | TypeScript         |        113 |          6 |         22 |        141 |
| c:\dev\cloudbox\backend\src\scripts\check-thumbnails.ts                                      | TypeScript         |         36 |          1 |         11 |         48 |
| c:\dev\cloudbox\backend\src\scripts\createTestUser.ts                                        | TypeScript         |         19 |          0 |          3 |         22 |
| c:\dev\cloudbox\backend\src\scripts\preflight.ts                                             | TypeScript         |        167 |          1 |         29 |        197 |
| c:\dev\cloudbox\backend\src\scripts\regenerate-audio-thumbnails.ts                           | TypeScript         |         77 |          6 |         17 |        100 |
| c:\dev\cloudbox\backend\src\types\modules.d.ts                                               | TypeScript         |         37 |          1 |          5 |         43 |
| c:\dev\cloudbox\backend\src\workers\queueWorker.ts                                           | TypeScript         |        216 |         48 |         45 |        309 |
| c:\dev\cloudbox\backend\test-results\.last-run.json                                          | JSON               |          4 |          0 |          0 |          4 |
| c:\dev\cloudbox\backend\tsconfig.json                                                        | JSON with Comments |         24 |          0 |          1 |         25 |
| c:\dev\cloudbox\backend\vitest.config.ts                                                     | TypeScript         |         32 |          5 |          2 |         39 |
| c:\dev\cloudbox\docker-compose.prod.yml                                                      | YAML               |        189 |         32 |         12 |        233 |
| c:\dev\cloudbox\docker-compose.yml                                                           | YAML               |         92 |          9 |          7 |        108 |
| c:\dev\cloudbox\docs\admin_api.md                                                            | Markdown           |        470 |          0 |        148 |        618 |
| c:\dev\cloudbox\docs\api_overview.md                                                         | Markdown           |        277 |          0 |         64 |        341 |
| c:\dev\cloudbox\docs\architecture.md                                                         | Markdown           |         46 |          0 |         19 |         65 |
| c:\dev\cloudbox\docs\backup.md                                                               | Markdown           |        118 |          0 |         49 |        167 |
| c:\dev\cloudbox\docs\database_schema.md                                                      | Markdown           |         31 |          0 |         17 |         48 |
| c:\dev\cloudbox\docs\deployment.md                                                           | Markdown           |         84 |          0 |         48 |        132 |
| c:\dev\cloudbox\docs\environment_variables.md                                                | Markdown           |        161 |          0 |         64 |        225 |
| c:\dev\cloudbox\docs\frontend_guide.md                                                       | Markdown           |        357 |          0 |        106 |        463 |
| c:\dev\cloudbox\docs\getting_started.md                                                      | Markdown           |         53 |          0 |         26 |         79 |
| c:\dev\cloudbox\docs\i18n.md                                                                 | Markdown           |        253 |          0 |         82 |        335 |
